Execution date,Execution time,Filename,Run elapsed time(s),CPU time user-mode(s),CPU time kernel(s),Memory usage(KB)
05/01/23,13:08:45,small_50MB_dataset.txt,3.15,2.94,0.21,241564
05/01/23,13:12:48,small_50MB_dataset.txt,2.80,1.94,0.84,241512
