Timestamp,PID,File read size(MB),Runtime(seconds),Memory usage(MB),Cpu Utilization
5/10/23 9:29,354 4979,0.0625,4.56,32.17,1.7
5/10/23 9:30,553 4984,0.0625,4.5,32.42,2.8
5/10/23 9:30,798 4993,0.0625,4.52,32.14,1.1
5/10/23 9:30,180 5002,0.0625,4.59,32.28,1.3
5/10/23 9:30,460 5028,0.0625,4.54,32.7,1.1
5/10/23 9:30,823 5033,0.0625,4.59,31.69,1.2
5/10/23 9:30,329 5038,0.0625,4.64,31.86,1.2
5/10/23 9:31,753 5046,0.0625,4.61,32.5,1.5
5/10/23 9:31,134 5051,0.0625,4.58,31.36,1.4
5/10/23 9:31,518 5056,0.0625,4.58,32.36,3
5/10/23 9:31,945 5095,0.0625,4.61,32.23,1.3
5/10/23 9:31,359 5100,0.0625,4.6,30.77,5.1
5/10/23 9:31,730 5106,0.0625,4.57,31.89,2
5/10/23 9:32,121 5114,0.0625,4.59,31.66,11.7
5/10/23 9:32,460 5127,0.0625,4.56,31.67,11.6
5/10/23 9:32,937 5133,0.0625,4.63,31.64,1.1
5/10/23 9:32,454 5138,0.0625,4.66,31.92,11.1
5/10/23 9:32,995 5178,0.0625,4.66,32.5,1.5
5/10/23 9:32,497 5183,0.0625,4.64,31.45,12
5/10/23 9:32,133 5191,0.0625,4.7,32.03,1.8
5/10/23 9:33,520 5199,0.0625,4.59,30.73,7.8
5/10/23 9:33,006 5204,0.0625,4.63,32.59,2
5/10/23 9:33,337 5209,0.0625,4.56,32.11,5.7
5/10/23 9:33,703 5248,0.0625,4.58,30.94,1.1
5/10/23 9:33,872 5254,0.0625,4.49,31.72,1.6
5/10/23 9:33,982 5259,0.0625,4.46,31.09,1.2
5/10/23 9:34,192 5267,0.0625,4.51,31.19,1.6
5/10/23 9:34,356 5272,0.0625,4.49,31.47,2.1
5/10/23 9:34,809 5278,0.0625,3.13,32.03,1.3
